Kleeblatt HotspotID;Name;longitude;latitude
49;Glärnischfirn;8.990324576;47.00355795
50;Gossau;9.290302326;47.40553383
51;Grenchen;7.416395099;47.18137939
52;Grimentz;7.572003032;46.17334332
53;Gruyères;7.094375389;46.5941916
54;Gstaad-Inn Grund;7.270921292;46.42906782
55;Gstaad-Inn Grund;7.270921292;46.42906782
56;Gsteigwiler;7.878238802;46.64767847
57;Gstellihorn;7.261726631;46.34482751
58;Gumm;7.195017825;46.43178391
59;Haltikon;8.414691329;47.09019587
60;Hasenstrick;8.882024133;47.27994323
61;Hausen a.A.;8.515589152;47.23876055
62;Holziken;8.026072722;47.31426216
63;Interlaken (Hel);7.875385178;46.67083638
64;Jungfraujoch;7.990157754;46.54765391
65;Kägiswil;8.253127892;46.90735027
66;Kanderfirn;7.828298033;46.4858027
67;La Chaux-de-Fonds-Les Éplatures;6.793570254;47.08420929
68;La Côte;6.258114917;46.40644938
69;Langenthal;7.741597771;47.18300117
70;Langgletscher;7.922820619;46.45350458
71;Lauberhorn;7.949999638;46.58388844
72;Lauberhorn;7.949999638;46.58388844
73;Lausanne-La Blecherette;6.616661162;46.54528182
74;Lauterbrunnen;7.913752556;46.5847507
75;Leysin;7.024161925;46.34143841
76;Leysin;7.024161925;46.34143841
77;Leysin Gebirgslandeplatz;7.024298785;46.34133015
78;Limmerenfirn;8.967729781;46.81060708
79;Locarno;8.878615033;46.16082647
80;Lodrino;8.991944441;46.29027777
81;Lommis;9.003630129;47.52473628
82;Lugano-Agno;8.910263108;46.00361455
83;Luzern-Beromunster;8.204679043;47.189971
84;Madrisahorn;9.86572125;46.93189427
85;Männlichen;7.941716919;46.61053372
86;Männlichen;7.941716919;46.61053372
87;Mollis;9.064937852;47.07917642
88;Mollis;9.064937852;47.07917642
89;Monte Rosa;7.851232299;45.94103322
90;Montricher;6.400633849;46.59021828
91;Môtiers;6.615191991;46.91663348
92;Münster;8.263283035;46.4800096
93;Neuchatel;6.864545704;46.95736896
94;Olten;7.884534809;47.34130806
95;Payerne;6.913527723;46.84238602
96;Petersgrat;7.828437704;46.46898022
97;Petit Combin;7.26604954;45.98393182
98;Pfaffnau;7.909990265;47.23527241
99;Porrentruy;7.051541674;47.41047043
100;Raron;7.821666663;46.30444445
101;Raron Heli;7.832821601;46.30131975
102;Reichenbach;7.677724756;46.61363992
103;Rosa Blanche;7.354642688;46.06094483
104;Rosenegg-West;8.139826008;46.62689244
105;Saanen;7.248566795;46.4865512
106;Samedan;9.884081428;46.53439041
107;San Vittore;9.089549495;46.23198009
108;San Vittore;9.089647857;46.23231458
109;Schaffhausen;8.526998337;47.6904674
110;Schänis;9.039430464;47.17163151
111;Schattenhalb;8.201466538;46.71096095
112;Schindellegi;8.714093634;47.17032868
113;Schwarzsee;7.28305541;46.6661109
114;Sion;7.326943936;46.21916692
115;Sitterdorf;9.262798769;47.50887761
116;Speck-Fehraltorf;8.757598063;47.37640111
117;St.Gallen-Altenrhein;9.561935582;47.484919
118;St.Moritz;9.824140935;46.47874938
119;St.Stephan;7.411817599;46.49776755
120;Staldenhorn;7.240250741;46.42737184
121;Susten Steingletscher;8.42535995;46.73115887
122;Sustenlimmi;8.426616912;46.68976553
123;Tavanasa;9.09320754;46.76061894
124;Theodulgletscher;7.710013137;45.93426553
125;Thun;7.60041623;46.75630517
126;Triengen;8.077947698;47.22662208
127;Trogen;9.473069027;47.40898388
128;Unterrothorn;7.79759964;46.0206023
129;Untervaz;9.550817277;46.91261808
130;Vadret dal Corvatsch;9.946525958;46.39734646
131;Vadret Pers;9.824198649;46.4184368
132;Vorabgletscher;9.15204258;46.87844183
133;Vordere Walig;7.241026396;46.39318972
134;Wangen;8.869999922;47.21055547
135;Wangen;8.869999922;47.21055547
136;Wangen-Lachen;8.867378998;47.20485159
137;Wildhorn;7.360692368;46.35443012
138;Winterthur;8.771933613;47.51496678
139;Würenlingen;8.244722156;47.53722214
140;Yverdon;6.613223965;46.76189765
141;Zermatt;7.753453626;46.02936046
142;Zürich;8.548004468;47.45819278
143;Zweisimmen;7.381035844;46.55175439
144;Speck-Fehraltorf;8.757598063;47.37640111
145;St.Gallen-Altenrhein;9.561935582;47.484919
146;St.Moritz;9.824140935;46.47874938
147;St.Stephan;7.411817599;46.49776755
148;Staldenhorn;7.240250741;46.42737184
149;Susten Steingletscher;8.42535995;46.73115887
150;Sustenlimmi;8.426616912;46.68976553
151;Tavanasa;9.09320754;46.76061894
152;Theodulgletscher;7.710013137;45.93426553
153;Lauberhorn;7.949999638;46.58388844
154;Lauberhorn;7.949999638;46.58388844
155;Lausanne-La Blecherette;6.616661162;46.54528182
156;Lauterbrunnen;7.913752556;46.5847507
157;Leysin;7.024161925;46.34143841
158;Leysin;7.024161925;46.34143841
159;Leysin Gebirgslandeplatz;7.024298785;46.34133015
160;Limmerenfirn;8.967729781;46.81060708
161;Locarno;8.878615033;46.16082647
